,status,duration,amount,savings,employment_duration,installment_rate,present_residence,age,number_credits,credit_risk,credit_history_critical account/other credits elsewhere,credit_history_delay in paying off in the past,credit_history_existing credits paid back duly till now,credit_history_no credits taken/all credits paid back duly,purpose_car (new),purpose_car (used),purpose_domestic appliances,purpose_furniture/equipment,purpose_others,purpose_radio/television,purpose_repairs,purpose_retraining,purpose_vacation,personal_status_sex_female : single,personal_status_sex_male : divorced/separated,personal_status_sex_male : married/widowed,property_car or other,property_real estate,property_unknown/no property,telephone_yes (under customer name)
0,1,18,1049,1,2,1,4,21,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,9,2799,1,3,3,2,36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2,2,12,841,2,4,3,4,23,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1,12,2122,1,3,2,2,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4,1,12,2171,1,3,1,4,38,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,1,10,2241,1,2,4,3,48,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6,1,8,3398,1,4,4,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7,1,6,1361,1,2,3,4,40,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
8,4,18,1098,1,1,1,4,65,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,24,3758,3,1,4,4,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,1,11,3905,1,3,3,2,36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
11,1,30,6187,2,4,4,4,24,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1,6,1957,1,4,4,4,31,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,48,7582,2,1,3,4,31,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
14,1,18,1936,5,4,3,4,23,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15,1,6,2647,3,3,3,3,44,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
16,1,11,3939,1,3,4,2,40,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
17,2,18,3213,3,2,4,3,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
18,2,36,2337,1,5,1,4,36,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
19,4,11,7228,1,3,4,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20,1,6,3676,1,3,4,3,37,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21,2,12,3124,1,2,4,3,49,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22,2,36,2384,1,2,1,1,33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
23,2,12,1424,1,4,1,3,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24,1,6,4716,5,2,4,3,44,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,2,11,4771,1,4,3,4,51,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
26,1,12,652,1,5,1,4,24,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2,9,1154,1,5,3,4,37,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
28,4,15,3556,5,3,2,2,29,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
